CWD_Barcod,Kill_Date,Township,Range,Range_Dir,Section,Quarter_Se,Deer_Sex,DTRSQ,X,Y
255604,11/20/2010,7,6,4,14,3,M,407061430,-89.75489281,43.07892493
255609,11/26/2010,7,5,4,21,4,M,407052140,-89.9021957,43.06394448
255657,10/27/2013,3,5,4,29,2,M,403052920,-89.93143701,42.70828805
255672,11/28/2008,8,5,4,33,2,M,408053320,-89.91235681,43.12893389
255678,1/20/2009,7,6,4,11,4,M,407061140,-89.74488546,43.09345251
255679,1/31/2009,7,5,4,21,4,F,407052140,-89.9021957,43.06394448
255694,11/20/2010,6,6,4,2,4,M,406060240,-89.7454957,43.02100304
255720,10/26/2013,3,5,4,11,2,F,403051120,-89.87266831,42.7518718
255750,11/6/2011,7,6,4,13,2,M,407061320,-89.73508344,43.08628954
256267,1/3/2013,7,18,4,22,4,F,407182240,-88.34940554,43.05038836
256413,3/3/2013,7,18,4,35,3,M,407183530,-88.33935229,43.02106481
256498,11/6/2011,1,13,4,23,2,M,401132320,-88.92893007,42.53491105
256753,11/21/2009,7,3,4,1,4,F,407030140,-90.07882215,43.10873898
256769,11/21/2009,7,4,4,19,1,M,407041910,-90.05958665,43.07239962
256787,11/22/2009,10,2,4,32,3,M,410023230,-90.28635951,43.29668503
256796,11/21/2009,7,4,4,12,2,F,407041220,-89.97092343,43.09998748
256809,11/21/2009,7,5,4,23,3,M,407052330,-89.87252871,43.06389999
256810,11/21/2009,7,5,4,23,3,M,407052330,-89.87252871,43.06389999
256842,11/21/2009,9,3,4,26,2,M,409032620,-90.10863401,43.2317403
256883,11/21/2009,7,4,4,14,2,F,407041420,-89.99048709,43.08583749
256890,11/21/2009,8,3,4,26,4,F,408032640,-90.09853885,43.13650698
256891,11/21/2009,7,4,4,17,3,F,407041730,-90.04971173,43.07953512
256945,1/2/2010,8,3,4,26,2,F,408032620,-90.10851291,43.1437292
256957,11/22/2009,10,2,4,4,2,F,410020420,-90.26650563,43.37645888
256958,11/22/2009,8,3,4,34,3,F,408033430,-90.12821905,43.12219856
257008,12/31/2011,11,1,4,16,4,F,411011640,-90.37495318,43.42712005
257200,11/5/2011,11,1,4,1,2,M,411010120,-90.32501746,43.4632829
257280,11/19/2011,7,7,4,15,4,M,407071540,-89.64576473,43.07889448
257287,10/22/2011,7,2,4,36,3,M,407023630,-90.20646265,43.03700172
257306,11/20/2011,7,6,4,20,1,M,407062010,-89.80428401,43.07139762
257319,11/19/2011,5,7,4,1,3,M,405070130,-89.61758148,42.93394744
257481,11/22/2011,7,3,4,33,4,M,407033340,-90.13746043,43.03662568
257483,11/25/2011,6,3,4,10,4,F,406031040,-90.11779759,43.00718193
257491,11/20/2011,7,3,4,17,3,F,407031730,-90.16727278,43.08029594
257963,10/27/2012,7,5,4,34,2,M,407053420,-89.89245271,43.04244988
258035,11/29/2009,7,3,4,12,0,F,407031200,-90.08362247,43.09790267
258130,11/25/2011,7,6,4,1,1,M,407060110,-89.72469293,43.11532284
258137,12/13/2009,7,3,4,12,4,F,407031240,-90.07860209,43.09429704
258163,12/13/2009,7,3,4,12,9,F,407031200,-90.08362247,43.09790267
258169,11/30/2013,7,6,4,22,3,M,407062230,-89.77484231,43.06432876
258173,10/27/2012,7,4,4,15,1,M,407041510,-90.00037353,43.08602061
258178,9/21/2012,10,4,4,32,1,M,410043210,-90.03916243,43.30397561
258192,10/28/2010,7,5,4,2,3,F,407050230,-89.8724763,43.10720781
258235,11/5/2010,7,6,4,5,2,M,407060520,-89.81402496,43.11487002
258237,11/2/2010,7,6,4,27,1,M,407062710,-89.76500929,43.05718803
258240,11/3/2010,8,4,4,35,2,M,408043520,-89.99061767,43.12896501
258502,11/22/2014,4,5,4,8,1,M,404050810,-89.92154088,42.83864589
258565,11/8/2014,4,5,4,35,2,M,404053520,-89.87286755,42.78081991
258705,11/2/2013,7,5,4,11,2,M,407051120,-89.87244714,43.09996884
258707,10/27/2013,6,4,4,2,1,M,406040210,-89.98059665,43.02766471
258713,11/9/2013,6,2,4,10,2,M,406021020,-90.24634682,43.01460826
258807,11/17/2012,7,5,4,13,2,M,407051320,-89.8527489,43.0855347
258829,11/17/2012,7,6,4,26,1,M,407062610,-89.74516971,43.05731834
258848,11/17/2012,7,4,4,17,4,M,407041740,-90.03989853,43.07948096
258849,11/17/2012,7,6,4,20,4,F,407062040,-89.80430028,43.06413193
258891,11/17/2012,5,6,4,32,3,F,405063230,-89.81376199,42.86098443
258895,11/17/2012,7,3,4,24,2,M,407032420,-90.08820255,43.07262172
258929,10/25/2012,5,6,4,28,4,M,405062840,-89.78406736,42.87542729
258930,10/25/2012,5,6,4,28,2,M,405062820,-89.7942487,42.88268888
